bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,fips,yearbuilt
3,2.0,1392,360304,6037,1958
4,2.0,1325,108775,6037,1955
3,3.0,2274,382746,6037,2013
3,2.0,1669,258222,6037,1956
4,2.0,1880,217172,6037,1955
3,2.0,2007,349358,6037,1957
3,2.0,1128,318208,6037,1961
4,2.0,2060,305482,6037,1957
2,2.0,1347,353912,6037,1947
3,2.0,1940,475649,6037,1961
3,2.0,1618,139303,6037,1958
3,2.0,1549,203467,6037,1956
2,2.0,1609,297619,6037,1952
2,2.0,1308,217885,6037,1984
3,3.0,2045,488814,6037,1963
4,2.0,1823,407927,6037,1958
3,2.0,1755,65192,6037,1949
3,2.0,1316,244982,6037,1956
4,3.0,1616,258680,6037,1960
4,4.0,1861,488000,6037,1956
4,3.0,1572,219121,6037,1959
3,3.0,2660,388075,6037,1990
2,2.0,1985,93826,6037,1950
3,2.0,1884,512000,6037,1953
3,2.0,1662,342661,6037,1953
3,3.0,1612,357238,6037,1953
3,2.0,1153,55214,6037,1953
3,2.0,1393,347073,6037,1957
3,2.0,1581,71132,6037,1953
3,2.0,1519,197401,6037,1954
4,2.0,1707,351870,6037,1956
4,2.0,1382,303028,6037,1954
4,2.0,1940,407437,6037,1957
4,3.0,2206,518284,6037,1977
4,3.0,2206,405067,6037,1977
4,2.0,1318,219426,6037,1955
4,2.0,2188,197484,6037,1952
4,2.0,1554,349610,6037,1956
3,1.0,1060,411176,6037,1944
4,2.0,1495,386171,6037,1953
3,2.0,1249,414212,6037,1953
3,2.0,1648,507000,6037,1954
2,1.0,952,213652,6037,1949
3,2.0,2103,529863,6037,1961
4,3.0,2072,270132,6037,1956
2,2.0,1440,329495,6037,1951
3,2.0,1242,289661,6037,1954
3,2.0,1830,235488,6037,1981
3,2.0,1338,329099,6037,1954
3,3.0,1821,349080,6037,1957
3,2.0,1218,227270,6037,1954
3,2.0,1496,298011,6037,1955
5,3.0,2096,274306,6037,1949
2,1.0,1412,222671,6037,1947
3,2.0,1296,64968,6037,1955
3,1.0,1044,126800,6037,1947
3,2.0,1336,213833,6037,1955
3,2.0,1510,338022,6037,1979
3,2.0,1540,139081,6037,1955
3,2.0,2573,572000,6037,1949
3,1.0,1097,390333,6037,1951
3,2.0,1437,279219,6037,1954
3,3.0,1778,263032,6037,1951
3,1.0,1300,218095,6037,1913
3,2.0,1379,461335,6037,1955
3,1.0,1065,172633,6037,1951
3,2.0,1678,357142,6037,1953
2,1.0,1184,47874,6037,1949
3,1.0,1100,89885,6037,1947
3,2.0,1300,267494,6037,1955
4,3.0,1689,240974,6037,1952
5,3.0,2307,226062,6037,1951
4,2.0,1833,225875,6037,1950
3,2.0,1270,254855,6037,2002
3,2.0,1428,346320,6037,1960
3,1.0,1206,168196,6037,1951
3,2.0,1262,185719,6037,1953
3,2.0,2416,266617,6037,1954
3,2.0,1217,62912,6037,1954
3,2.0,1342,390328,6037,1953
3,2.0,1116,388000,6037,1952
3,2.0,1422,270430,6037,1952
3,2.0,1833,292128,6037,1951
3,1.0,1111,240574,6037,1951
3,2.0,1492,338073,6037,1952
3,2.0,1315,66636,6037,1949
3,2.0,1176,282827,6037,1949
3,1.0,1014,287502,6037,1949
3,1.0,1056,362435,6037,1948
3,2.0,1494,223647,6037,1949
3,1.0,1056,324166,6037,1948
3,1.0,1410,155733,6037,1949
4,3.0,2164,488200,6037,1969
3,1.0,1040,59600,6037,1951
2,2.0,1372,259953,6037,1951
4,2.0,1640,198427,6037,1953
2,1.0,799,230854,6037,1939
4,2.0,1649,146786,6037,1943
3,2.0,1228,282119,6037,1955
3,2.0,1719,444067,6037,1937
3,1.0,1150,56211,6037,1924
3,2.0,1288,432000,6037,1956
4,2.0,1782,207677,6037,1966
2,1.0,868,195894,6037,1938
3,2.0,1114,164877,6037,1960
3,2.0,1468,429900,6037,1954
3,2.0,1262,286794,6037,1953
4,3.0,1755,270666,6037,1953
3,2.0,1364,93786,6037,1958
5,2.0,1613,63531,6037,1954
3,2.0,1544,205252,6037,1954
3,2.0,1253,319813,6037,1953
2,2.0,1229,370566,6037,1960
2,1.0,843,246850,6037,1950
4,2.0,1570,133889,6037,1951
4,2.0,2324,313004,6037,1955
4,2.0,1394,336440,6037,1955
2,1.0,1205,66963,6037,1949
3,2.0,1098,385000,6037,1953
2,1.0,694,40555,6037,1953
3,1.0,880,193370,6037,1956
3,2.0,1264,92753,6037,1949
3,1.0,1014,51316,6037,1953
3,2.0,1397,374000,6037,1956
2,1.0,936,61005,6037,1923
4,3.0,2053,391610,6037,1948
3,2.0,1275,276329,6037,1953
2,1.0,1012,44612,6037,1948
3,2.0,1232,379282,6037,1948
2,1.0,1653,46958,6037,1928
3,2.0,1131,46963,6037,1953
2,1.0,969,44268,6037,1955
2,1.0,896,148967,6037,1950
3,1.0,978,51250,6037,1953
3,2.0,1178,136173,6037,1948
3,2.0,1404,341724,6037,1939
2,1.0,1313,206438,6037,1945
3,1.0,1387,94844,6037,1954
2,1.0,1125,339111,6037,1980
2,1.0,750,43856,6037,1950
3,2.0,1406,460200,6037,1955
4,2.0,1365,431000,6037,1962
3,1.0,896,119390,6037,1952
3,3.0,1556,317333,6037,1955
3,2.0,1428,196834,6037,1937
2,1.0,1360,163190,6037,1953
4,2.0,1491,442000,6037,1969
3,2.0,1384,205000,6037,1951
4,2.0,1275,101017,6037,1955
2,1.0,900,354400,6037,1940
4,2.0,1810,69954,6037,1953
4,3.0,1524,393087,6037,1985
3,3.0,1764,256902,6037,1998
4,3.0,1764,460821,6037,1998
5,3.0,2360,311865,6037,1998
3,2.0,1796,426404,6037,1956
4,3.0,2107,528239,6037,1967
4,3.0,2308,407775,6037,1963
4,2.0,2223,744638,6037,1978
4,2.0,1910,282853,6037,1957
3,2.0,1692,428079,6037,1963
3,3.0,2584,626497,6037,1965
4,2.0,2112,650000,6037,1959
4,3.0,2338,685000,6037,1975
3,2.0,2041,559228,6037,1960
3,2.0,1896,376508,6037,1960
3,2.0,1477,408345,6037,1960
3,2.0,1879,436542,6037,1965
3,3.0,2267,145278,6037,1965
3,2.0,2280,496032,6037,1962
2,2.0,2043,294243,6037,1964
3,2.0,1359,331778,6037,1980
4,3.0,2032,286578,6037,1966
5,3.0,2591,359584,6037,2000
5,2.0,2078,119721,6037,1963
5,2.0,2450,179169,6037,1963
5,4.0,3519,388150,6037,1967
5,3.0,2625,286866,6037,1965
5,4.0,3093,499062,6037,1988
4,3.0,3301,642672,6037,1984
3,2.0,2183,670064,6037,1972
3,3.0,3145,871232,6037,1980
4,3.0,1857,316784,6037,1984
3,3.0,2051,272826,6037,1985
3,2.0,1649,348558,6037,1983
5,3.0,1904,187682,6037,1965
3,2.0,1572,305307,6037,1976
3,4.0,2316,304665,6037,1965
3,2.0,1816,241937,6037,1969
3,2.0,1316,283826,6037,1959
3,2.0,1288,343473,6037,1960
3,2.0,1134,282829,6037,1962
3,2.0,1528,289519,6037,1960
5,3.0,2547,724872,6037,1963
3,2.0,1564,102489,6037,1956
3,2.0,1619,691307,6037,1954
3,2.0,1404,411829,6037,1956
2,1.0,1180,309352,6037,1953
4,2.0,2057,565880,6037,1922
3,2.0,1528,233872,6037,1957
3,2.0,1269,55043,6037,1961
4,3.0,2676,142263,6037,1955
2,1.0,812,223702,6037,1949
2,3.0,1607,713482,6037,1992
3,1.0,808,300304,6037,1921
2,1.0,865,229107,6037,1953
2,1.0,824,161598,6037,1951
3,1.0,1376,292750,6037,1931
2,2.0,1173,136375,6037,1945
4,1.0,1016,141612,6037,1924
2,2.0,1152,158902,6037,1954
2,1.0,892,243252,6037,1951
3,2.0,1098,254974,6037,1951
3,2.0,1605,465988,6037,1970
3,2.0,1812,145241,6037,1948
3,3.0,1734,471023,6037,1959
3,1.0,1216,154394,6037,1949
3,3.0,2004,275441,6037,1989
2,1.0,1040,259740,6037,1947
2,1.0,640,326190,6037,1924
2,1.0,936,391306,6037,1953
3,2.0,1344,550000,6037,1992
2,3.0,1233,456861,6037,1956
3,2.0,1024,483000,6037,1947
2,2.0,1908,527000,6037,1923
3,2.0,1231,475000,6037,1953
3,2.0,1231,298607,6037,1953
3,1.0,1059,163032,6037,1954
4,2.0,1818,671400,6037,1927
3,2.0,1262,54830,6037,1953
3,2.0,1266,231368,6037,1956
4,2.0,1664,536000,6037,1972
3,3.0,1662,403729,6037,1952
4,2.0,1600,202761,6037,1976
2,1.0,998,378000,6037,1946
3,3.0,1589,279660,6037,1984
3,2.0,1540,620284,6037,1959
3,2.0,1404,418046,6037,1964
3,2.0,1631,108057,6037,1954
4,2.0,2049,117787,6037,1941
3,2.0,2594,532059,6037,1949
3,3.0,2068,458305,6037,1963
2,2.0,1325,393820,6037,1955
4,2.0,2979,626149,6037,1965
3,2.0,2048,238553,6037,1963
3,1.0,860,295710,6037,1923
3,2.0,1437,261816,6037,1940
4,2.0,1646,189964,6037,1974
3,2.0,920,227271,6037,1958
3,1.0,985,354299,6037,1954
3,1.0,1123,39920,6037,1954
3,2.0,1106,223885,6037,1957
3,2.0,1386,50282,6037,1956
4,2.0,1408,160811,6037,1982
4,3.0,1550,418000,6037,1988
3,2.0,1000,165851,6037,1981
3,2.0,1144,129503,6037,1959
2,2.0,851,211069,6037,1985
3,2.0,1506,338744,6037,1963
3,2.0,1750,293620,6037,1958
2,2.0,1437,148963,6037,1950
3,2.0,1742,74506,6037,1964
3,1.0,1383,240930,6037,1920
3,2.0,1488,404651,6037,1962
3,2.0,1772,414350,6037,1962
4,2.0,2099,921600,6037,1949
3,3.0,1639,220414,6037,1958
3,2.0,1475,405167,6037,1958
2,1.0,961,141875,6037,1937
4,3.0,1687,206670,6037,1957
3,2.0,1075,137912,6037,1956
3,2.0,1075,270563,6037,1957
3,2.0,1164,66430,6037,1960
4,2.0,1325,48621,6037,1954
4,2.0,1195,350000,6037,1956
2,1.0,1136,222180,6037,1929
3,1.0,1120,183365,6037,1924
4,3.0,2372,408864,6037,1938
2,1.0,975,192373,6037,1940
3,2.0,1544,428000,6037,1952
3,2.0,1212,62912,6037,1948
3,2.0,1261,188435,6037,1953
4,2.0,1699,228925,6037,1956
2,2.0,1395,385000,6037,1956
3,2.0,1242,226022,6037,1954
2,1.0,806,253458,6037,1948
3,2.0,1108,268578,6037,1958
4,2.0,1736,107295,6037,1958
3,2.0,1297,441551,6037,1963
3,2.0,1828,206998,6037,1976
4,3.0,1868,258861,6037,1957
4,2.0,1190,161363,6037,1955
2,2.0,1107,435000,6037,1947
3,2.0,1662,267029,6037,1957
2,1.0,654,99488,6037,1948
4,3.0,1419,224146,6037,1944
3,2.0,1518,176916,6037,1955
2,2.0,1648,283801,6037,1950
4,2.0,1130,287288,6037,1954
4,3.0,1694,452900,6037,1956
3,1.0,1152,158684,6037,1948
3,1.0,1169,193793,6037,1951
3,1.0,1361,69690,6037,1950
3,1.0,1169,345292,6037,1951
3,1.0,1197,58360,6037,1951
2,2.0,984,217460,6037,1949
4,1.0,1423,92729,6037,1955
2,1.0,936,65777,6037,1957
3,2.0,1161,135523,6037,1955
4,2.0,1122,189741,6037,1954
3,2.0,1679,247923,6037,1964
4,2.0,1200,197884,6037,1954
2,1.0,1050,291493,6037,1954
4,2.0,2046,245718,6037,1969
4,2.0,1858,254913,6037,1949
5,3.0,1851,444178,6037,1964
5,2.0,1960,328919,6037,1959
3,2.0,1764,300625,6037,1964
4,2.0,1610,392165,6037,1975
3,2.0,1118,372000,6037,1953
3,2.0,988,158222,6037,1960
4,2.0,1416,238233,6037,1985
3,2.0,1783,244500,6037,1965
5,4.0,1920,462000,6037,1957
3,3.0,2457,638706,6037,1962
4,2.0,1836,450285,6037,1987
4,3.0,1812,471576,6037,1987
2,1.0,1310,592932,6037,1940
3,2.0,1741,383088,6037,1930
2,2.0,1516,624139,6037,1930
3,2.0,1556,446410,6037,1928
2,1.0,909,429963,6037,1941
3,3.0,2353,261132,6037,1941
2,1.0,909,65940,6037,1941
4,2.0,2351,424872,6037,1941
3,2.0,1206,654648,6037,1926
3,2.0,1974,284101,6037,1924
3,2.0,1535,312753,6037,1931
2,2.0,1292,70574,6037,1923
2,1.0,984,409850,6037,1940
2,2.0,1014,405252,6037,1940
3,2.0,1328,272654,6037,1938
2,1.0,1204,314186,6037,1940
3,2.0,2391,320259,6037,1940
3,2.0,1465,81902,6037,1952
3,1.0,872,457968,6037,1938
4,3.0,2067,525779,6037,1941
2,1.0,646,274533,6037,1952
3,1.0,1233,91674,6037,1949
2,1.0,736,220704,6037,1948
3,1.0,1248,369369,6037,1950
2,2.0,1788,101223,6037,1952
4,3.0,1936,820000,6037,1947
3,1.0,1269,501703,6037,1948
4,2.0,1937,408479,6037,1950
4,4.0,3222,721872,6037,1953
3,2.0,1969,350016,6037,1982
2,2.0,2160,860000,6037,1974
2,2.0,1918,123585,6037,1951
4,3.0,2661,138712,6037,1958
5,3.0,1970,294632,6037,1944
3,1.0,1365,278089,6037,1951
3,1.0,1349,458789,6037,1951
2,1.0,1251,583768,6037,1942
2,1.0,846,558387,6037,1941
2,2.0,1108,191062,6037,1940
2,2.0,1156,507632,6037,1938
3,1.0,1027,406180,6037,1944
3,1.0,1312,63527,6037,1941
4,2.0,1480,459956,6037,1940
2,1.0,998,217498,6037,1944
2,1.0,914,73989,6037,1926
2,1.0,1025,143651,6037,1938
2,1.0,917,206734,6037,1940
3,1.0,1032,268159,6037,1943
3,2.0,1736,626740,6037,1950
3,1.0,1349,644081,6037,1951
3,2.0,1495,329827,6037,1951
4,2.0,2751,602361,6037,1961
2,1.0,1263,81974,6037,1940
3,3.0,1740,411384,6037,1924
3,3.0,2133,520249,6037,1924
4,4.0,3397,671068,6037,2003
4,3.0,3054,963879,6037,1989
2,1.0,1439,487016,6037,1920
3,2.0,1859,583364,6037,1939
3,1.0,1215,243931,6037,1947
3,2.0,1948,819621,6037,1938
3,2.0,1565,98754,6037,1929
2,2.0,1681,696518,6037,1947
2,1.0,958,321348,6037,1938
2,1.0,932,309301,6037,1938
3,2.0,1161,606000,6037,1938
2,1.0,1341,68507,6037,1938
2,1.0,1605,83725,6037,1937
4,3.0,1997,103430,6037,1944
4,1.0,1201,185282,6037,1944
3,2.0,1810,124542,6037,1941
2,1.0,1164,320129,6037,1941
3,1.0,1500,435919,6037,1926
2,1.0,945,258054,6037,1940
2,2.0,1200,477466,6037,1939
3,2.0,1440,478815,6037,1948
3,2.0,1008,327604,6037,1940
3,2.0,2740,388608,6037,1944
2,1.0,1213,565918,6037,1941
3,1.0,1048,390086,6037,1944
2,2.0,1491,291668,6037,1959
2,3.0,1488,285789,6037,1965
2,1.0,644,684605,6037,1925
3,2.0,1710,131886,6037,1952
4,2.0,2386,196622,6037,1936
2,1.0,2406,628434,6037,1948
2,1.0,962,545000,6037,1936
4,3.0,2237,496601,6037,1941
4,2.0,1684,73451,6037,1937
3,2.0,1170,251604,6037,1944
2,1.0,910,241837,6037,1941
3,2.0,1362,473305,6037,1929
4,2.0,1463,175398,6037,1947
2,1.0,1040,390275,6037,1927
2,1.0,804,171495,6037,1942
3,1.0,1004,324273,6037,1944
4,2.0,1461,361888,6037,1943
3,2.0,1542,339989,6037,1961
3,1.0,1561,360699,6037,1948
3,1.0,1570,470989,6037,1953
3,2.0,1308,421328,6037,1948
3,1.0,1281,262934,6037,1951
2,1.0,812,132780,6037,1944
3,1.0,1080,160077,6037,1957
2,1.0,1103,479854,6037,1941
2,1.0,1169,315258,6037,1943
3,2.0,1364,73679,6037,1956
2,1.0,915,207171,6037,1941
3,2.0,1584,315461,6037,1952
3,2.0,1811,250964,6037,1964
2,1.0,1184,414211,6037,1950
4,2.0,3030,413041,6037,1946
3,2.0,1920,303474,6037,1961
2,1.0,836,42612,6037,1950
3,1.0,1086,50684,6037,1952
3,2.0,1591,327116,6037,1956
4,3.0,2573,298569,6037,1960
4,3.0,2256,422601,6037,1960
3,2.0,2038,505192,6037,1959
3,3.0,2785,852829,6037,1955
5,4.0,2557,270838,6037,1960
4,4.0,3266,615016,6037,1936
3,2.0,1698,375069,6037,1941
2,2.0,1395,498059,6037,1938
2,2.0,1305,294032,6037,1939
3,2.0,1638,121515,6037,1937
2,1.0,1204,312262,6037,1940
2,2.0,1528,575019,6037,1947
2,3.0,2477,158395,6037,1959
2,1.0,1099,68296,6037,1939
3,2.0,1204,78034,6037,1939
3,2.0,1818,335615,6037,1941
3,3.0,2490,594518,6037,1936
2,2.0,1600,980000,6037,1938
2,2.0,1276,322119,6037,1954
3,2.0,1976,435017,6037,1937
4,3.0,1998,658823,6037,1946
3,2.0,2032,616703,6037,1964
4,2.0,2214,500613,6037,1948
2,1.0,1468,90043,6037,1951
3,3.0,2184,1030386,6037,1951
3,3.0,2116,486866,6037,1951
3,3.0,1892,568899,6037,1950
3,3.0,1709,128386,6037,1952
3,3.0,2039,634882,6037,1941
3,3.0,2146,959410,6037,1948
3,3.0,2152,409979,6037,1936
2,2.0,1013,370243,6037,1925
3,3.0,2384,549917,6037,1937
2,1.0,910,197984,6037,1941
3,2.0,1861,919815,6037,1936
2,1.0,1424,262480,6037,1937
3,2.0,1469,217655,6037,1929
2,2.0,1536,706900,6037,1929
3,1.0,1828,85072,6037,1948
3,2.0,1136,167285,6037,1944
4,3.0,1736,291369,6037,1940
4,3.0,2575,608652,6037,1999
4,3.0,2144,141353,6037,1954
2,1.0,1363,800000,6037,1952
4,4.0,2851,420578,6037,1955
4,4.0,3097,506270,6037,1967
4,3.0,2442,795777,6037,1950
2,2.0,1909,932000,6037,1951
2,2.0,1624,92728,6037,1955
2,1.0,1050,249916,6037,1940
3,2.0,1776,281409,6037,1949
3,2.0,1726,327259,6037,1951
2,1.0,1289,459055,6037,1943
2,2.0,1500,251195,6037,1941
3,3.0,1826,586416,6037,1952
4,3.0,3322,384251,6037,1940
3,3.0,2054,713045,6037,1960
3,3.0,1933,246048,6037,1952
2,1.0,1100,267055,6037,1928
3,2.0,2006,574554,6037,1952
2,1.0,980,525247,6037,1971
2,1.0,991,369801,6037,1926
2,1.0,901,171187,6037,1941
3,2.0,1847,538476,6037,1939
4,2.0,1287,407999,6037,1942
3,1.0,1135,153519,6037,1947
3,1.0,1134,558387,6037,1940
2,1.0,1154,315640,6037,1940
3,1.0,1114,330387,6037,1940
3,3.0,2479,174155,6037,1936
3,2.0,1566,534455,6037,1956
2,1.0,1287,330938,6037,1949
3,1.0,1706,440099,6037,1948
3,2.0,1296,539097,6037,1947
2,2.0,1393,359826,6037,1955
2,2.0,1094,497054,6037,1947
3,1.0,1294,524000,6037,1949
3,3.0,1807,550772,6037,1960
2,2.0,1447,248370,6037,1954
5,4.0,3293,595431,6037,1926
3,2.0,1334,251245,6037,1953
4,3.0,1960,258423,6037,1937
3,2.0,1619,182750,6037,1954
2,1.0,1265,210324,6037,1946
3,2.0,1705,384159,6037,1964
3,2.0,1397,308440,6037,1954
3,1.0,912,161503,6037,1947
4,2.0,1683,236915,6037,1947
3,2.0,1273,214551,6037,1942
3,1.0,936,185387,6037,1947
4,2.0,1634,227793,6037,1927
3,2.0,1860,95827,6037,1957
2,1.0,1090,145661,6037,1928
3,1.0,1200,416252,6037,1946
3,1.0,1111,49446,6037,1952
2,1.0,1058,310760,6037,1942
2,1.0,1018,181875,6037,1948
4,2.0,2067,200858,6037,1967
3,1.0,991,253327,6037,1944
5,3.0,2286,371417,6037,1944
3,3.0,1525,247013,6037,1944
4,2.0,1425,335496,6037,1949
3,1.0,1008,198627,6037,1948
4,3.0,2774,444352,6037,1962
3,2.0,1315,169782,6037,1942
4,3.0,1536,239414,6037,1926
3,1.0,1282,67256,6037,1955
3,2.0,1659,120945,6037,1947
3,2.0,1455,292323,6037,1948
3,1.0,1008,59387,6037,1948
3,1.0,1037,198013,6037,1949
5,2.0,1716,102652,6037,1948
3,2.0,1357,348476,6037,1953
3,2.0,1412,212324,6037,1953
3,2.0,1298,262053,6037,1955
3,2.0,1450,477000,6037,1956
4,2.0,1430,447000,6037,1953
5,3.0,1917,538477,6037,1954
3,2.0,1735,83621,6037,1965
3,2.0,1692,207836,6037,1963
3,1.0,1036,376000,6037,1955
3,2.0,1286,206241,6037,1956
4,2.0,1800,469000,6037,1960
3,2.0,1982,1012637,6037,1958
3,4.0,2699,772697,6037,1960
3,3.0,2543,170619,6037,1956
4,3.0,2530,1028145,6037,1955
5,3.0,2600,191943,6037,1962
3,3.0,2351,622413,6037,1959
4,3.0,1996,150501,6037,1966
3,2.0,2150,692593,6037,1959
4,4.0,3044,205002,6037,1962
4,3.0,3052,206861,6037,1962
3,4.0,3163,231093,6037,1961
3,2.0,2639,897192,6037,1957
5,4.0,2699,212520,6037,1948
4,4.0,3258,703084,6037,1948
4,3.0,3067,192969,6037,1941
5,4.0,2912,961684,6037,1959
4,3.0,2025,980820,6037,1956
3,2.0,2034,141826,6037,1956
4,3.0,2449,260467,6037,1963
3,3.0,2574,697628,6037,1956
2,2.0,1901,496347,6037,1953
2,3.0,1197,556840,6037,1951
3,1.0,1506,578691,6037,1947
3,3.0,2116,847770,6037,1961
3,3.0,3503,361658,6037,1947
3,4.0,3575,601822,6037,1953
3,3.0,2473,1011911,6037,1977
3,2.0,2216,403172,6037,1948
3,1.0,1152,69121,6037,1948
4,2.0,1500,333979,6037,1948
2,3.0,1458,247262,6037,1948
3,2.0,1202,244887,6037,1948
2,2.0,1696,661396,6037,1938
3,1.0,1295,288156,6037,1925
2,1.0,1231,327943,6037,1940
5,3.0,3215,855591,6037,1987
3,1.0,1559,231534,6037,1941
2,2.0,1967,807771,6037,1941
5,4.0,2955,998838,6037,1936
2,2.0,1353,269906,6037,1952
2,1.0,2180,371875,6037,1946
3,2.0,1351,710000,6037,1949
3,2.0,1454,786818,6037,1949
2,2.0,1140,665277,6037,1939
3,3.0,2015,311569,6037,1946
4,2.0,1859,341380,6037,1961
3,2.0,1680,336786,6037,1961
3,3.0,3302,423698,6037,1958
3,4.0,3211,865854,6037,1951
2,2.0,2103,268054,6037,1949
3,2.0,1698,98120,6037,1949
3,2.0,1659,753000,6037,1949
2,2.0,1847,717761,6037,1953
5,4.0,3497,861343,6037,1957
3,2.0,1541,297632,6037,1949
2,1.0,756,55663,6037,1949
3,1.0,1714,560000,6037,1949
3,2.0,1730,530517,6037,1949
3,2.0,1184,606063,6037,1950
2,2.0,1421,163422,6037,1951
4,1.0,1445,328762,6037,1948
3,2.0,1372,651000,6037,1937
2,1.0,1024,328392,6037,1940
3,2.0,1497,613349,6037,1952
4,2.0,1391,522807,6037,1949
3,2.0,1630,397618,6037,1942
3,2.0,1816,336258,6037,1955
3,2.0,1168,298245,6037,1942
3,2.0,1266,308995,6037,1950
4,3.0,1572,313311,6037,1954
3,2.0,1376,297108,6037,1947
2,1.0,832,207911,6037,1923
3,2.0,1753,272783,6037,1970
4,4.0,2619,477999,6037,1987
2,2.0,1450,256897,6037,1950
3,1.0,1585,524893,6037,1930
2,2.0,1574,486000,6037,1946
3,2.0,1704,318637,6037,1963
2,1.0,1024,322470,6037,1948
3,2.0,1149,67874,6037,1951
3,2.0,1395,427674,6037,1951
2,1.0,1026,73725,6037,1947
2,1.0,1372,399113,6037,1949
3,2.0,1329,250657,6037,1948
4,2.0,1604,498347,6037,1950
3,2.0,1259,419732,6037,1952
2,2.0,1548,565000,6037,1958
3,2.0,1246,472091,6037,1950
2,1.0,1325,307846,6037,1949
4,3.0,2460,749000,6037,1947
3,1.0,1126,62911,6037,1950
4,2.0,1448,371492,6037,1950
3,1.0,1062,135079,6037,1949
3,2.0,1670,595431,6037,1960
3,2.0,1193,232071,6037,1949
2,1.0,931,398678,6037,1949
2,1.0,926,395947,6037,1949
3,1.0,1656,533000,6037,1951
2,1.0,868,171960,6037,1948
3,1.0,1172,50276,6037,1951
5,3.0,2810,229868,6037,1948
3,3.0,1752,342082,6037,1955
3,2.0,1222,184800,6037,1955
3,3.0,2093,373396,6037,1952
